Gas,District,# of Trees per km2,Total Emisions per km2
NOx,Willowbrook,266,2.1
NOx,Williamsburg - Bushwick,197,27.8
NOx,West Queens,86,23.7
NOx,Washington Heights,156,100.6
NOx,Upper West Side,535,210.5
NOx,Upper East Side,765,225.9
NOx,Union Square - Lower East Side,161,117.5
NOx,Sunset Park,316,13.9
NOx,Stapleton - St. George,94,4.6
NOx,Southwest Queens,122,14.3
NOx,Southeast Queens,142,8.1
NOx,South Beach - Tottenville,149,2
NOx,Rockaways,44,6.1
NOx,Ridgewood - Forest Hills,56,22.5
NOx,Port Richmond,82,2.8
NOx,Pelham - Throgs Neck,231,23.6
NOx,Northeast Bronx,10,33.3
NOx,Lower Manhattan,78,114.9
NOx,Long Island City - Astoria,178,29.3
NOx,Kingsbridge - Riverdale,144,35.8
NOx,Jamaica,8,13.1
NOx,Hunts Point - Mott Haven,122,35.5
NOx,High Bridge - Morrisania,217,72.2
NOx,Greenpoint,222,18.8
NOx,Gramercy Park - Murray Hill,134,256.2
NOx,Fresh Meadows,139,14.3
NOx,Fordham - Bronx Pk,171,65
NOx,Flushing - Clearview,70,17
NOx,East New York,180,14.7
NOx,East Harlem,233,50.1
NOx,East Flatbush - Flatbush,89,33.2
NOx,Downtown - Heights - Slope,57,32.5
NOx,Crotona -Tremont,253,56
NOx,Coney Island - Sheepshead Bay,244,23.5
NOx,Chelsea - Clinton,12,181.5
NOx,Central Harlem - Morningside Heights,341,77.8
NOx,Canarsie - Flatlands,264,6.6
NOx,Borough Park,199,34.4
NOx,Bensonhurst - Bay Ridge,252,26.1
NOx,Bedford Stuyvesant - Crown Heights,61,31.9
NOx,Bayside - Little Neck,217,9.8
SO2,Willowbrook,266,0
SO2,Williamsburg - Bushwick,197,0.3
SO2,West Queens,86,1.1
SO2,Washington Heights,156,32
SO2,Upper West Side,535,50.9
SO2,Upper East Side,765,39.4
SO2,Union Square - Lower East Side,161,14.1
SO2,Sunset Park,316,0.5
SO2,Stapleton - St. George,94,0.2
SO2,Southwest Queens,122,0.5
SO2,Southeast Queens,142,0.3
SO2,South Beach - Tottenville,149,0
SO2,Rockaways,44,0
SO2,Ridgewood - Forest Hills,56,1.3
SO2,Port Richmond,82,0
SO2,Pelham - Throgs Neck,231,2.8
SO2,Northeast Bronx,10,1.6
SO2,Lower Manhattan,78,8.3
SO2,Long Island City - Astoria,178,5
SO2,Kingsbridge - Riverdale,144,9.1
SO2,Jamaica,8,0.4
SO2,Hunts Point - Mott Haven,122,1.7
SO2,High Bridge - Morrisania,217,12.9
SO2,Greenpoint,222,0.3
SO2,Gramercy Park - Murray Hill,134,41.5
SO2,Fresh Meadows,139,3.1
SO2,Fordham - Bronx Pk,171,16.6
SO2,Flushing - Clearview,70,3
SO2,East New York,180,0.1
SO2,East Harlem,233,4.8
SO2,East Flatbush - Flatbush,89,1.7
SO2,Downtown - Heights - Slope,57,1.2
SO2,Crotona -Tremont,253,8.8
SO2,Coney Island - Sheepshead Bay,244,0.7
SO2,Chelsea - Clinton,12,36.4
SO2,Central Harlem - Morningside Heights,341,10.7
SO2,Canarsie - Flatlands,264,0
SO2,Borough Park,199,1.1
SO2,Bensonhurst - Bay Ridge,252,1.2
SO2,Bedford Stuyvesant - Crown Heights,61,1
SO2,Bayside - Little Neck,217,0.9
PM2.5,Willowbrook,266,0
PM2.5,Williamsburg - Bushwick,197,0.1
PM2.5,West Queens,86,0.2
PM2.5,Washington Heights,156,4.2
PM2.5,Upper West Side,535,7
PM2.5,Upper East Side,765,5.7
PM2.5,Union Square - Lower East Side,161,2
PM2.5,Sunset Park,316,0.1
PM2.5,Stapleton - St. George,94,0
PM2.5,Southwest Queens,122,0.1
PM2.5,Southeast Queens,142,0
PM2.5,South Beach - Tottenville,149,0
PM2.5,Rockaways,44,0
PM2.5,Ridgewood - Forest Hills,56,0.2
PM2.5,Port Richmond,82,0
PM2.5,Pelham - Throgs Neck,231,0.4
PM2.5,Northeast Bronx,10,0.3
PM2.5,Lower Manhattan,78,1.2
PM2.5,Long Island City - Astoria,178,0.7
PM2.5,Kingsbridge - Riverdale,144,1.3
PM2.5,Jamaica,8,0.1
PM2.5,Hunts Point - Mott Haven,122,0.3
PM2.5,High Bridge - Morrisania,217,1.9
PM2.5,Greenpoint,222,0
PM2.5,Gramercy Park - Murray Hill,134,5.5
PM2.5,Fresh Meadows,139,0.4
PM2.5,Fordham - Bronx Pk,171,2.3
PM2.5,Flushing - Clearview,70,0.4
PM2.5,East New York,180,0
PM2.5,East Harlem,233,0.7
PM2.5,East Flatbush - Flatbush,89,0.2
PM2.5,Downtown - Heights - Slope,57,0.2
PM2.5,Crotona -Tremont,253,1.3
PM2.5,Coney Island - Sheepshead Bay,244,0.1
PM2.5,Chelsea - Clinton,12,4.9
PM2.5,Central Harlem - Morningside Heights,341,1.6
PM2.5,Canarsie - Flatlands,264,0
PM2.5,Borough Park,199,0.2
PM2.5,Bensonhurst - Bay Ridge,252,0.2
PM2.5,Bedford Stuyvesant - Crown Heights,61,0.2
PM2.5,Bayside - Little Neck,217,0.2
