Name,Geo Place Name,Data Value
NOx,South Beach - Tottenville,2
NOx,Willowbrook,2.1
NOx,Port Richmond,2.8
NOx,Stapleton - St. George,4.6
NOx,Rockaways,6.1
NOx,Canarsie - Flatlands,6.6
NOx,Southeast Queens,8.1
NOx,Bayside - Little Neck,9.8
NOx,Jamaica,13.1
NOx,Sunset Park,13.9
NOx,Southwest Queens,14.3
NOx,Fresh Meadows,14.3
NOx,East New York,14.7
NOx,Flushing - Clearview,17
NOx,Greenpoint,18.8
NOx,Ridgewood - Forest Hills,22.5
NOx,Coney Island - Sheepshead Bay,23.5
NOx,Pelham - Throgs Neck,23.6
NOx,West Queens,23.7
NOx,Bensonhurst - Bay Ridge,26.1
NOx,Williamsburg - Bushwick,27.8
NOx,Long Island City - Astoria,29.3
NOx,Bedford Stuyvesant - Crown Heights,31.9
NOx,Downtown - Heights - Slope,32.5
NOx,East Flatbush - Flatbush,33.2
NOx,Northeast Bronx,33.3
NOx,Borough Park,34.4
NOx,Hunts Point - Mott Haven,35.5
NOx,Kingsbridge - Riverdale,35.8
NOx,East Harlem,50.1
NOx,Crotona -Tremont,56
NOx,Fordham - Bronx Pk,65
NOx,High Bridge - Morrisania,72.2
NOx,Central Harlem - Morningside Heights,77.8
NOx,Washington Heights,100.6
NOx,Lower Manhattan,114.9
NOx,Union Square - Lower East Side,117.5
NOx,Chelsea - Clinton,181.5
NOx,Upper West Side,210.5
NOx,Upper East Side,225.9
NOx,Gramercy Park - Murray Hill,256.2
SO2,South Beach - Tottenville,0
SO2,Willowbrook,0
SO2,Port Richmond,0
SO2,Stapleton - St. George,0.2
SO2,Rockaways,0
SO2,Canarsie - Flatlands,0
SO2,Southeast Queens,0.3
SO2,Bayside - Little Neck,0.9
SO2,Jamaica,0.4
SO2,Sunset Park,0.5
SO2,Southwest Queens,0.5
SO2,Fresh Meadows,3.1
SO2,East New York,0.1
SO2,Flushing - Clearview,3
SO2,Greenpoint,0.3
SO2,Ridgewood - Forest Hills,1.3
SO2,Coney Island - Sheepshead Bay,0.7
SO2,Pelham - Throgs Neck,2.8
SO2,West Queens,1.1
SO2,Bensonhurst - Bay Ridge,1.2
SO2,Williamsburg - Bushwick,0.3
SO2,Long Island City - Astoria,5
SO2,Bedford Stuyvesant - Crown Heights,1
SO2,Downtown - Heights - Slope,1.2
SO2,East Flatbush - Flatbush,1.7
SO2,Northeast Bronx,1.6
SO2,Borough Park,1.1
SO2,Hunts Point - Mott Haven,1.7
SO2,Kingsbridge - Riverdale,9.1
SO2,East Harlem,4.8
SO2,Crotona -Tremont,8.8
SO2,Fordham - Bronx Pk,16.6
SO2,High Bridge - Morrisania,12.9
SO2,Central Harlem - Morningside Heights,10.7
SO2,Washington Heights,32
SO2,Lower Manhattan,8.3
SO2,Union Square - Lower East Side,14.1
SO2,Chelsea - Clinton,36.4
SO2,Upper West Side,50.9
SO2,Upper East Side,39.4
SO2,Gramercy Park - Murray Hill,41.5
PM2.5,South Beach - Tottenville,0
PM2.5,Willowbrook,0
PM2.5,Port Richmond,0
PM2.5,Stapleton - St. George,0
PM2.5,Rockaways,0
PM2.5,Canarsie - Flatlands,0
PM2.5,Southeast Queens,0
PM2.5,Bayside - Little Neck,0.2
PM2.5,Jamaica,0.1
PM2.5,Sunset Park,0.1
PM2.5,Southwest Queens,0.1
PM2.5,Fresh Meadows,0.4
PM2.5,East New York,0
PM2.5,Flushing - Clearview,0.4
PM2.5,Greenpoint,0
PM2.5,Ridgewood - Forest Hills,0.2
PM2.5,Coney Island - Sheepshead Bay,0.1
PM2.5,Pelham - Throgs Neck,0.4
PM2.5,West Queens,0.2
PM2.5,Bensonhurst - Bay Ridge,0.2
PM2.5,Williamsburg - Bushwick,0.1
PM2.5,Long Island City - Astoria,0.7
PM2.5,Bedford Stuyvesant - Crown Heights,0.2
PM2.5,Downtown - Heights - Slope,0.2
PM2.5,East Flatbush - Flatbush,0.2
PM2.5,Northeast Bronx,0.3
PM2.5,Borough Park,0.2
PM2.5,Hunts Point - Mott Haven,0.3
PM2.5,Kingsbridge - Riverdale,1.3
PM2.5,East Harlem,0.7
PM2.5,Crotona -Tremont,1.3
PM2.5,Fordham - Bronx Pk,2.3
PM2.5,High Bridge - Morrisania,1.9
PM2.5,Central Harlem - Morningside Heights,1.6
PM2.5,Washington Heights,4.2
PM2.5,Lower Manhattan,1.2
PM2.5,Union Square - Lower East Side,2
PM2.5,Chelsea - Clinton,4.9
PM2.5,Upper West Side,7
PM2.5,Upper East Side,5.7
PM2.5,Gramercy Park - Murray Hill,5.5
