uhf,area km2,# of trees,pin oak,honeylocust,American linden,London planetree,ginkgo,willow oak,sycamore maple,Amur maple,,red maple,hedge maple,American elm,ash,crab apple,silver maple,Turkish hazelnut,black cherry,eastern redcedar,Norway maple,tulip-poplar,sawtooth oak,swamp white oak,Sophora,Chinese fringetree,southern magnolia,sweetgum,Callery pear,scarlet oak,Atlantic white cedar,black oak,Japanese zelkova,white oak,Ohio buckeye,northern red oak,silver linden,pignut hickory,Kentucky yellowwood,mulberry,Douglas-fir,crepe myrtle,sassafras,cherry,spruce,Chinese elm,horse chestnut,holly,littleleaf linden,white pine,blackgum,Japanese tree lilac,hardy rubber tree,green ash,English oak,white ash,golden raintree,Schumard's oak,Siberian elm,black walnut,weeping willow,katsura tree,black locust,Persian ironwood,Cornelian cherry,Chinese chestnut,southern red oak,purple-leaf plum,crimson king maple,Kentucky coffeetree,Japanese snowbell,sugar maple,arborvitae,Oklahoma redbud,tree of heaven,Chinese tree lilac,American hornbeam,eastern cottonwood,eastern hemlock,silver birch,Atlas cedar,empress tree,hawthorn,Schubert' chokecherry,catalpa,river birch,boxelder,European beech,Norway spruce,Himalayan cedar,Amur cork tree,Japanese maple,shingle oak,magnolia,smoketree,paper birch,American beech,American hophornbeam,American larch,pond cypress,cockspur hawthorn,dawn redwood,common hackberry,flowering dogwood,maple,kousa dogwood,eastern redbud,bald cypress,cucumber magnolia,serviceberry,Osage-orange,paperbark maple,red pine,Scots pine,tartar maple,black maple,blue spruce,quaking aspen,red horse chestnut,black pine,Shantung maple,European alder,Amur maackia,European hornbeam,bur oak,bigtooth aspen,trident maple,Virginia pine,two-winged silverbell,pagoda dogwood,Japanese hornbeam,pine
Willowbrook,13.683,3636,367,170,36,509,29,16,15,31,88,342,35,46,5,29,158,0,3,1,128,4,5,16,25,2,0,118,313,3,0,5,115,5,0,25,16,0,5,2,0,6,0,143,0,32,4,0,93,1,2,11,1,73,7,6,31,9,1,4,0,15,11,1,7,0,0,84,65,9,3,31,0,0,2,5,25,0,0,4,1,0,22,25,0,3,2,2,1,0,0,9,10,5,0,5,3,9,1,0,5,31,5,23,7,3,48,6,2,14,0,2,0,0,6,0,2,1,0,0,1,0,8,6,4,3,0,0,5,2,1,0
Williamsburg - Bushwick,3.801,747,77,100,15,23,26,2,0,0,43,1,0,1,0,1,0,0,1,1,2,0,20,16,48,0,3,13,61,0,0,1,39,3,0,38,25,0,0,0,0,0,0,8,0,1,0,0,69,0,0,0,1,10,5,0,7,15,1,0,0,0,6,0,0,7,0,9,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,3,7,0,0,0,0,0,2,0
West Queens,12.587,1083,118,101,31,121,28,5,1,0,67,5,1,13,3,4,6,0,2,0,67,0,0,12,12,0,0,1,132,0,0,0,48,3,0,9,25,1,0,0,0,0,0,52,0,24,3,0,42,1,0,3,2,23,0,0,27,0,0,0,1,0,0,0,5,0,0,15,4,2,0,0,0,0,1,0,0,0,0,0,0,0,4,10,1,0,0,0,3,1,0,0,0,0,0,2,0,0,1,0,0,20,1,7,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,1,0
Washington Heights,3.372,525,77,83,15,6,3,15,0,0,46,10,0,16,4,16,0,0,0,0,3,0,4,4,38,0,0,0,27,0,0,3,26,6,0,13,7,0,0,2,0,0,0,1,0,6,0,0,21,0,0,2,0,5,0,1,4,2,0,1,1,0,0,0,0,1,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,6,1,6,0,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Upper West Side,2.1,1123,104,270,14,88,82,7,0,0,36,5,0,14,0,65,1,0,0,1,4,0,5,0,109,0,0,8,121,3,0,1,23,11,1,18,4,0,0,0,0,0,0,1,0,4,2,8,41,0,0,0,0,11,4,1,8,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,12,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Upper East Side,1.39,1063,22,290,26,39,157,35,1,0,25,6,0,2,0,0,2,0,0,0,3,0,5,6,75,0,0,2,188,0,0,2,10,0,0,13,13,0,0,0,0,0,0,5,0,23,0,4,67,0,0,0,0,11,0,0,4,0,1,0,0,4,0,0,0,0,0,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Union Square - Lower East Side,2.071,334,17,34,1,101,8,3,0,0,9,2,0,2,0,3,0,1,0,0,1,0,0,4,16,1,2,0,7,1,0,0,1,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,12,0,0,5,0,2,1,3,5,4,0,0,2,0,3,0,0,2,0,1,0,2,0,0,0,4,0,0,3,0,0,4,0,0,3,1,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,6,1,1,4,0,9,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
Sunset Park,2.936,928,71,90,14,295,52,2,7,0,62,17,2,10,0,1,4,0,1,1,8,0,2,6,36,0,0,5,34,2,0,4,27,0,0,13,8,0,0,1,0,0,0,16,0,12,4,0,21,0,6,1,2,18,15,2,0,5,1,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,1,4,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0
Stapleton - St. George,11.255,1059,105,38,10,270,13,2,5,0,36,52,5,22,1,12,21,0,0,1,43,4,2,5,9,0,0,18,113,0,0,0,49,0,0,9,4,0,0,2,0,0,0,35,0,17,2,0,15,1,0,10,1,13,0,0,4,9,6,1,1,1,0,0,0,2,0,20,7,1,0,7,0,0,2,1,1,0,0,2,0,0,6,12,0,0,0,0,1,0,0,2,4,0,0,4,0,2,0,0,1,0,0,1,0,1,7,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Southwest Queens,10.777,1315,72,80,21,132,9,1,6,7,88,28,4,27,2,18,68,0,5,0,99,0,8,13,11,0,1,9,166,9,0,0,30,8,0,6,5,1,0,1,0,1,0,157,0,2,2,0,17,0,4,6,0,8,5,0,0,0,2,0,2,0,1,0,2,0,0,35,33,18,2,6,2,0,3,3,0,0,0,0,0,0,5,7,2,2,0,0,0,2,0,3,2,0,0,0,0,4,0,0,3,1,15,0,5,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,1,0,1,0,0,0,0,0
