borough,name,zip_codes,zip_sizes
bronx,Kingsbridge-Riverdale,"10463, 10471","1.45, 2.571"
bronx,NE Bronx,"10464, 10466, 10469, 10470, 10475","3.468, 2.014, 2.472, 1.43, 1.829"
bronx,Fordham-Bronx Park,"10458, 10467, 10468","1.005, 2.336, 1.071"
bronx,Pelham-Throgs Neck,"10461, 10462, 10465, 10472, 10473","2.395, 1.474, 3.397, 1.054, 2.138"
bronx,Crotona-Tremont,"10453, 10457, 10460","0.919, 1.059, 1.318"
bronx,High-Bridge-Morisania,"10451, 10452, 10456","1.029, 0.988, 1.018"
bronx,Hunts Point-Mott Haven,"10454, 10455, 10459, 10474","1.047, 0.713, 0.82, 1.54"
brooklyn,Greenpoint,"11211, 11222","2.312, 1.535"
brooklyn,Downtown Heightts-Slope,"11201, 11205, 11215, 11217, 11231","1.407, 0.945, 2.175, 0.75, 1.422"
brooklyn,Bedford Stuyvesant-Crown Heights,"11212, 11213, 11216, 11233, 11238","1.539, 1.09, 0.935, 1.349, 1.107"
brooklyn,East New York,"11207, 11208","2.672, 3.58"
brooklyn,Sunset Park,"11220, 11232","1.745, 1.191"
brooklyn,Borough Park,"11204, 11218, 11219, 11230","1.588, 1.428, 1.482, 1.841"
brooklyn,East Flatbush-Flatbush,"11203, 11210, 11225, 11226","2.145, 1.642, 0.884, 1.289"
brooklyn,Canarsie-Flatlands,"11234, 11236, 11239","7.41, 3.599, 0.618"
brooklyn,Bensonhurst-Bay Ridge,"11209, 11214, 11228","2.122, 2.169, 1.472"
brooklyn,Coney Island-Sheepshead Bay,"11223, 11224, 11229, 11235","2.074, 1.586, 2.159, 2.244"
brooklyn,Williamsburg-Bushwick,"11206, 11221, 11237","1.434, 1.383, 0.984"
new york,Washington Heights-Inwood,"10031, 10032, 10033, 10034, 10040","0.649, 0.655, 0.596, 1.09, 0.382"
new york,Central Harlem-Morningside Heights,"10026, 10027, 10030, 10037, 10039","0.332, 0.869, 0.279, 0.257, 0.437"
new york,East Harlem,"10029, 10035","0.812, 1.424"
new york,Upper West Side,"10023, 10024, 10025","0.49, 0.858, 0.752"
new york,Upper East Side,"10021, 10028, 10044, 10128","0.381, 0.313, 0.23, 0.466"
new york,Chelsea-Clinton,"10001, 10011, 10018, 10019, 10020, 10036","0.614, 0.66, 0.327, 0.697, 0.028, 0.439"
new york,Gramercy Park-Murray,"10010, 10016, 10017, 10022","0.382, 0.532, 0.317, 0.427"
new york,Greenwich Village-Soho,"10012, 10013, 10014","0.323, 0.55, 0.545"
new york,Union Square-Lower East Side,"10002, 10003, 10009","0.878, 0.576, 0.617"
new york,Lower Manhattan,"10004, 10005, 10006, 10007, 10038, 10280","0.537, 0.073, 0.093, 0.16, 0.299, 0.115"
queens,Long Island City-Astoria,"11101, 11102, 11103, 11104, 11105, 11106","2.604, 0.789, 0.711, 0.388, 1.682, 0.855"
queens,West Queens,"11368, 11369, 11370, 11372, 11373, 11377, 11378","2.63, 1.09, 1.49, 0.741, 1.522, 2.537, 2.577"
queens,Flushing-Clearview,"11354, 11355, 11356, 11357, 11358, 11359, 11360","2.178, 1.735, 1.577, 2.811, 1.949, 0.25, 1.393"
queens,Bayside-Littleneck,"11361, 11362, 11363, 11364","1.766, 2.529, 0.859, 2.468"
queens,Ridgewood-Forest Hills,"11374, 11375, 11379, 11385","0.943, 1.989, 2.075, 3.616"
queens,Fresh Meadows,"11365, 11366, 11367","2.499, 1.093, 2.355"
queens,SW Queens,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421","2.312, 0.566, 0.662, 1.119, 1.632, 1.119, 2.077, 1.29"
queens,Jamaica,"11412, 11423, 11430, 11432, 11433, 11434, 11435, 11436, 11001","1.647, 1.415, 6.999, 2.149, 1.549, 3.268, 1.529, 0.793, 2.227"
queens,SE Queens,"11004, 11005, 11411, 11413, 11422, 11426, 11427, 11428, 11429","0.949, 0.183, 1.168, 3.104, 2.004, 1.352, 1.581, 0.832, 1.294"
queens,Rockaway,"11691, 11692, 11693, 11694, 11695, 11697","2.751, 1.003, 0.985, 1.336, 0, 2.595"
staten island,Port Richmond,"10302, 10303, 10310","1.189, 3.144, 1.796"
staten island,Stapleton St. George,"10301, 10304, 10305","3.548, 3.728, 3.979"
staten island,Willowbrook,10314,13.683
staten island,South Beach-Tottenville,"10306, 10307, 10308, 10309, 10312","7.475, 1.839, 1.968, 6.656, 7.582"
